TIME;ACC[ROLL];GYRO[ROLL];ANGLE[ROLL];TARGET_ANGLE[ROLL];FRAME_ANGLE[ROLL];POWER[ROLL];ACC[PITCH];GYRO[PITCH];ANGLE[PITCH];TARGET_ANGLE[PITCH];FRAME_ANGLE[PITCH];POWER[PITCH];ACC[YAW];GYRO[YAW];ANGLE[YAW];TARGET_ANGLE[YAW];FRAME_ANGLE[YAW];POWER[YAW];RC_ROLL;RC_PITCH;RC_YAW;RC_CMD;EXT_FC_ROLL;EXT_FC_PITCH;BAT_VOLTAGE;RMS_ERR[ROLL];FREQ[ROLL];RMS_ERR[PITCH];FREQ[PITCH];RMS_ERR[YAW];FREQ[YAW]
02:06:07.939;-83;3;-8.920898;0.0;-7.426758;0;-8;-9;-1.4501953;0.0;-1.7358398;0;508;0;8.349609;0.0;0.0;0;;;;;;;0;5;50;3;60;2;163
02:06:07.987;-80;-2;-8.920898;0.0;-7.404785;0;-9;2;-1.4501953;0.0;-1.7358398;0;510;-1;8.349609;0.0;0.0;0;;;;;;;0;5;49;3;59;1;161
02:06:08.42;-81;0;-8.920898;0.0;-7.404785;0;-7;-1;-1.4501953;0.0;-1.7138672;0;507;-1;8.349609;0.0;0.0;0;;;;;;;0;3;48;2;60;0;176
02:06:08.91;-85;4;-8.920898;0.0;-7.404785;0;-4;-8;-1.4282227;0.0;-1.7138672;0;509;0;8.349609;0.0;0.0;0;;;;;;;0;3;58;2;76;1;182
02:06:08.140;-83;-2;-8.920898;0.0;-7.426758;0;-5;4;-1.4501953;0.0;-1.7138672;0;506;0;8.349609;0.0;0.0;0;;;;;;;0;7;58;3;79;1;183
02:06:08.188;-84;0;-8.942871;0.0;-7.426758;0;-5;0;-1.4501953;0.0;-1.7138672;0;506;0;8.349609;0.0;0.0;0;;;;;;;0;4;58;3;78;0;181
02:06:08.243;-83;-2;-8.964844;0.0;-7.4487305;0;-7;1;-1.4501953;0.0;-1.7358398;0;509;-3;8.349609;0.0;0.0;0;;;;;;;0;3;57;2;76;1;184
02:06:08.297;-83;4;-8.964844;0.0;-7.470703;0;-6;-9;-1.4501953;0.0;-1.7358398;0;506;0;8.349609;0.0;0.0;0;;;;;;;0;6;56;3;76;1;180
02:06:08.343;-80;1;-8.964844;0.0;-7.470703;0;-6;2;-1.4501953;0.0;-1.7358398;0;509;0;8.349609;0.0;0.0;0;;;;;;;0;4;58;2;76;0;170
02:06:08.398;-83;0;-8.964844;0.0;-7.470703;0;-7;-1;-1.472168;0.0;-1.7358398;0;507;0;8.349609;0.0;0.0;0;;;;;;;0;2;61;1;74;0;194
02:06:08.447;-80;0;-8.964844;0.0;-7.470703;0;-8;0;-1.4501953;0.0;-1.7358398;0;509;0;8.327637;0.0;0.0;0;;;;;;;0;2;63;1;78;1;191
02:06:08.503;-79;-4;-8.964844;0.0;-7.470703;0;-5;4;-1.4501953;0.0;-1.7358398;0;507;0;8.327637;0.0;0.0;0;;;;;;;0;2;65;1;83;1;193
02:06:08.549;-82;-4;-8.964844;0.0;-7.470703;0;-7;9;-1.4501953;0.0;-1.7138672;0;508;0;8.327637;0.0;0.0;0;;;;;;;0;2;64;1;81;1;197
02:06:08.598;-81;-1;-8.942871;0.0;-7.4487305;0;-8;2;-1.4501953;0.0;-1.7138672;0;507;0;8.327637;0.0;0.0;0;;;;;;;0;3;64;1;89;1;201
02:06:08.655;-82;2;-8.942871;0.0;-7.4487305;0;-6;-6;-1.4282227;0.0;-1.6918945;0;507;0;8.349609;0.0;0.0;0;;;;;;;0;3;66;2;93;0;207
